Name,Latitude,Longitude
Albert Centre Market & Food Centre,1.300908275,103.8542488
Market Street Interim Hawker Centre,1.281788599,103.8486752
Market Street Interim Food Centre,1.281788599,103.8486752
Amoy Street Food Centre,1.279369021,103.8466901
Maxwell Food Centre,1.280325373,103.8447563
Blk 6 Tanjong Pagar Plaza,1.276614673,103.8430903
Tiong Bahru Market,1.285028104,103.8328142
Blk 112 Jalan Bukit Merah,1.279981847,103.8259829
Blk 726 Clementi West Street 2,1.303752521,103.7642661
Blk 502 West Coast Drive,1.311914547,103.7591632
Blk 503 West Coast Drive,1.311837321,103.7597932
Blk 37A Teban Gardens Road,1.320837821,103.7427865
Blk 448 Clementi Ave 3,1.313274621,103.76449
Blk 353 Clementi Ave 2,1.314272421,103.770793
Blk 20 Ghim Moh Road,1.310949347,103.7883085
Holland Village Market & Food Centre,1.311202673,103.795004
Blk 226D Ang Mo Kio Ave 1,1.366794999,103.8391653
Blk 226H Ang Mo Kio Street 22,1.367241399,103.8400472
Blk 341 Ang Mo Kio Ave 1,1.364182896,103.8482926
Blk 453A Ang Mo Kio Ave 10,1.368160299,103.8565177
Blk 409 Ang Mo Kio Ave 10,1.362697947,103.8554336
Chomp Chomp Food Centre,1.364217773,103.8665789
Serangoon Garden Market,1.363235547,103.8665724
North Bridge Road Market & Food Centre,1.305811847,103.8638996
Golden Mile Food Centre,1.303332799,103.8639264
Blk 4A Jalan Batu,1.302351499,103.8838982
Kallang Estate Market,1.307431499,103.8841051
Blk 51 Old Airport Road,1.308231999,103.885872
Blk 210 Toa Payoh Lorong 8,1.340089547,103.8540969
Blk 22 Toa Payoh Lorong 7,1.335464199,103.8570491
Blk 75 Toa Payoh Lorong 5,1.336012803,103.8530436
Blk 74 Toa Payoh Lorong 4,1.334499851,103.8519834
Blk 127 Toa Payoh Lorong 1,1.338014547,103.8447447
Blk 93 Toa Payoh Lorong 4,1.338527351,103.8496026
Blk 527 Ang Mo Kio Ave 10,1.372753799,103.8543638
